normalized_url,gsc_source_url,spider_source_url,in_gsc,in_spider,clicks,impressions,ctr,position,status_code,content_type,indexability,indexability_status,canonical_url,meta_robots,x_robots_tag,title,meta_description,h1,word_count,internal_links,unique_internal_links,redirect_url,redirect_type,structured_data,hreflang
https://encuentratucoach.es/,https://encuentratucoach.es/,https://encuentratucoach.es/,YES,YES,127,1886,0.0673,17.47,200,text/html; charset=utf-8,Indexable,,https://encuentratucoach.es/,,,Buscar coach en España y online,"Busca coach en España por ciudad, especialidad, modalidad y presupuesto. Directorio para comparar perfiles reales y contactar directamente.","Encuentra un coach que encaje contigo por objetivo, ciudad y presupuesto",1134,612,204,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaches/nuria,https://encuentratucoach.es/coaches/nuria/,,YES,NO,6,126,0.047599999999999996,5.94,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/buscar-coach-madrid,https://encuentratucoach.es/buscar-coach-madrid/,https://encuentratucoach.es/buscar-coach-madrid,YES,YES,5,1794,0.0028000000000000004,59.82,308,,No indexable,Redirigido,,,,,,,0,0,0,https://encuentratucoach.es/coaches/ciudad/madrid,Redirección HTTP,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaches/ester-fernandez,https://encuentratucoach.es/coaches/ester-fernandez/,https://encuentratucoach.es/coaches/ester-fernandez,YES,YES,4,125,0.032,18.64,200,text/html; charset=utf-8,Indexable,,https://encuentratucoach.es/coaches/ester-fernandez,,,Ester Fernandez | Emocional en barcelona | EncuentraTuCoach,Ester Fernandez ofrece emocional en barcelona. Ideal para personas que buscan emocional con foco en life coaching.. Sesiones presencial. Precio desde 70 €.,Ester Fernandez,926,14,5,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaching-de-liderazgo-habilidades-clave-y-ejercicios-practicos-para-liderar-mejo,https://encuentratucoach.es/coaching-de-liderazgo-habilidades-clave-y-ejercicios-practicos-para-liderar-mejo/,,YES,NO,4,67,0.059699999999999996,40.58,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/buscar-coach-en-barcelona,https://encuentratucoach.es/buscar-coach-en-barcelona/,https://encuentratucoach.es/buscar-coach-en-barcelona,YES,YES,3,460,0.006500000000000001,33.31,308,,No indexable,Redirigido,,,,,,,0,0,0,https://encuentratucoach.es/coaches/ciudad/barcelona,Redirección HTTP,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaches/ciudad/madrid,https://encuentratucoach.es/coaches/ciudad/madrid,https://encuentratucoach.es/coaches/ciudad/madrid,YES,YES,3,440,0.0068000000000000005,73.65,200,text/html; charset=utf-8,Indexable,,,,,Buscar coach en Madrid | EncuentraTuCoach,"Busca coach en Madrid por especialidad, modalidad, precio y señales de confianza. Compara perfiles y contacta directamente.",Encuentra coach en Madrid con mejor encaje,1168,244,204,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/coaching-personal,https://encuentratucoach.es/coaching-personal/,,YES,NO,3,76,0.0395,6.28,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/el-poder-del-coaching-en-espana,https://encuentratucoach.es/el-poder-del-coaching-en-espana/,,YES,NO,3,40,0.075,8.35,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
https://encuentratucoach.es/test1,https://encuentratucoach.es/test1/,,YES,NO,3,20,0.15,5.4,,,,,,,,,,,,,,,,UNSPECIFIED,UNSPECIFIED
